Session,Group,ID,QType,QID,Time,Answer,Sentence,Confidence
1,2,4481,GPL,2,87,Correct,Correct,Semi
1,2,8141,GPL,2,54,Wrong,Wrong,Semi
1,2,5387,GPL,2,16,Correct,Correct,Very
1,2,9141,GPL,2,45,Correct,Correct,Semi
1,2,6322,GPL,2,70,Correct,Correct,Semi
1,2,7945,GPL,2,5,Correct,Correct,Very
1,1,4689,HIPAA,1,100,Correct,Wrong,Very
1,1,2286,HIPAA,1,90,Wrong,Wrong,Guess
1,1,6127,HIPAA,1,11,Correct,Wrong,Semi
1,1,8861,HIPAA,1,13,Correct,Wrong,Semi
1,1,9261,HIPAA,1,97,Correct,Correct,Semi
1,1,4087,HIPAA,1,150,Wrong,Wrong,Very
1,1,8203,HIPAA,1,154,Correct,Wrong,Semi
1,1,5499,HIPAA,1,30,Correct,Wrong,Semi
1,1,7116,HIPAA,1,18,Correct,Correct,Very
1,1,2640,HIPAA,1,80,Wrong,Correct,Very
1,1,3296,HIPAA,1,27,Correct,Correct,Semi
1,1,5114,HIPAA,1,25,Correct,Correct,Very
1,1,7662,HIPAA,1,183,Wrong,Wrong,Semi
1,1,4777,HIPAA,1,153,Correct,Correct,Very
1,1,4177,HIPAA,1,107,Correct,Correct,Semi
1,1,6911,HIPAA,1,312,Correct,Correct,Semi
1,1,1154,HIPAA,1,60,Wrong,Wrong,Semi
1,1,7224,HIPAA,1,50,Wrong,Wrong,Semi
1,1,4689,HIPAA,2,14,Correct,Wrong,Very
1,1,2286,HIPAA,2,10,Wrong,Wrong,Guess
1,1,6127,HIPAA,2,14,Correct,Wrong,Semi
1,1,8861,HIPAA,2,11,Correct,Wrong,Semi
1,1,9261,HIPAA,2,38,Correct,Wrong,Guess
1,1,4087,HIPAA,2,210,NMI,Wrong,Semi
1,1,8203,HIPAA,2,20,Correct,Wrong,Semi
1,1,5499,HIPAA,2,69,Wrong,Wrong,Semi
1,1,7116,HIPAA,2,13,Wrong,Correct,Semi
1,1,2640,HIPAA,2,25,Correct,Wrong,Very
1,1,3296,HIPAA,2,9,Correct,Wrong,Semi
1,1,5114,HIPAA,2,34,Correct,Wrong,Very
1,1,7662,HIPAA,2,108,Correct,Wrong,Semi
1,1,4777,HIPAA,2,43,Correct,Wrong,Semi
1,1,4177,HIPAA,2,18,Correct,Wrong,Very
1,1,6911,HIPAA,2,85,Correct,Wrong,Very
1,1,1154,HIPAA,2,18,Wrong,Wrong,Very
1,1,7224,HIPAA,2,41,Wrong,Wrong,Semi
1,1,4689,HIPAA,3,52,Wrong,Correct,Very
1,1,2286,HIPAA,3,29,Wrong,Wrong,Guess
1,1,6127,HIPAA,3,64,Wrong,Correct,Very
1,1,8861,HIPAA,3,10,Wrong,Correct,Very
1,1,9261,HIPAA,3,46,Correct,Correct,Very
1,1,4087,HIPAA,3,50,Wrong,Correct,Semi
1,1,8203,HIPAA,3,44,Correct,Correct,Very
1,1,5499,HIPAA,3,69,Wrong,Correct,Very
1,1,7116,HIPAA,3,52,Correct,Correct,Very
1,1,2640,HIPAA,3,60,NMI,Correct,Semi
1,1,3296,HIPAA,3,17,Wrong,Correct,Very
1,1,5114,HIPAA,3,45,Correct,Wrong,Very
1,1,7662,HIPAA,3,0,Correct,Correct,Very
1,1,4777,HIPAA,3,77,Correct,Correct,Semi
1,1,4177,HIPAA,3,29,Correct,Correct,Very
1,1,6911,HIPAA,3,60,Wrong,Correct,Very
1,1,1154,HIPAA,3,64,Correct,Correct,Semi
1,1,7224,HIPAA,3,14,Wrong,Correct,Very
1,2,1709,HIPAA,1,53,NMI,Wrong,Semi
1,2,6850,HIPAA,1,32,Correct,Wrong,Guess
1,2,6671,HIPAA,1,66,Wrong,Wrong,Semi
1,2,6548,HIPAA,1,49,Wrong,Wrong,Semi
1,2,2178,HIPAA,1,29,Wrong,Wrong,Guess
1,2,4830,HIPAA,1,79,Correct,Correct,Semi
1,2,2793,HIPAA,1,36,Correct,Wrong,Very
1,2,6739,HIPAA,1,38,Wrong,Wrong,Semi
1,2,8725,HIPAA,1,35,Wrong,Wrong,Very
1,2,5640,HIPAA,1,12,Correct,Correct,Very
1,2,9960,HIPAA,1,55,Correct,Correct,Semi
1,2,9485,HIPAA,1,74,Correct,Correct,Semi
1,2,4481,HIPAA,1,18,Correct,Correct,Semi
1,2,8141,HIPAA,1,52,Correct,Wrong,Semi
1,2,5387,HIPAA,1,85,Correct,Wrong,Semi
1,2,9141,HIPAA,1,237,Correct,Wrong,Semi
1,2,6322,HIPAA,1,33,Correct,Correct,Semi
1,2,7945,HIPAA,1,45,Wrong,Wrong,Semi
1,2,1709,HIPAA,2,50,NMI,Wrong,Semi
1,2,6850,HIPAA,2,25,Correct,Wrong,Guess
1,2,6671,HIPAA,2,37,Wrong,Wrong,Semi
1,2,6548,HIPAA,2,13,Wrong,Wrong,Guess
1,2,2178,HIPAA,2,24,Correct,Wrong,Semi
1,2,4830,HIPAA,2,13,Correct,Wrong,Semi
1,2,2793,HIPAA,2,40,Correct,Wrong,Semi
1,2,6739,HIPAA,2,69,Correct,Wrong,Semi
1,2,8725,HIPAA,2,35,NMI,Wrong,Semi
1,2,5640,HIPAA,2,18,Correct,Wrong,Semi
1,2,9960,HIPAA,2,24,Wrong,Wrong,Semi
1,2,9485,HIPAA,2,17,Correct,Wrong,Semi
1,2,4481,HIPAA,2,28,Correct,Wrong,Semi
1,2,8141,HIPAA,2,11,Wrong,Wrong,Very
1,2,5387,HIPAA,2,115,Correct,Wrong,Semi
1,2,9141,HIPAA,2,14,Correct,Wrong,Very
1,2,6322,HIPAA,2,22,Correct,Wrong,Semi
1,2,7945,HIPAA,2,23,NMI,Wrong,Very
1,2,1709,HIPAA,3,59,Correct,Wrong,Semi
1,2,6850,HIPAA,3,24,Wrong,Correct,Semi
1,2,6671,HIPAA,3,27,Wrong,Correct,Very
1,2,6548,HIPAA,3,25,Correct,Correct,Very
1,2,2178,HIPAA,3,48,Wrong,Wrong,Guess
1,2,4830,HIPAA,3,30,Correct,Correct,Semi
1,2,2793,HIPAA,3,55,Correct,Correct,Very
1,2,6739,HIPAA,3,45,Wrong,Correct,Semi
1,2,8725,HIPAA,3,33,NMI,Correct,Very
1,2,5640,HIPAA,3,77,NMI,Correct,Semi
1,2,9960,HIPAA,3,21,NMI,Correct,Very
1,2,9485,HIPAA,3,15,Wrong,Correct,Semi
1,2,4481,HIPAA,3,35,Wrong,Correct,Semi
1,2,8141,HIPAA,3,28,Wrong,Correct,Semi
1,2,5387,HIPAA,3,32,Correct,Correct,Very
1,2,9141,HIPAA,3,13,Wrong,Correct,Very
1,2,6322,HIPAA,3,42,Wrong,Correct,Semi
1,2,7945,HIPAA,3,26,Correct,Correct,Very
2,1,4689,AGPL,1,25,Wrong,Correct,Very
2,1,2286,AGPL,1,23,Wrong,Correct,Semi
2,1,6127,AGPL,1,36,Wrong,Correct,Guess
2,1,8861,AGPL,1,31,Wrong,Correct,Semi
2,1,9261,AGPL,1,67,Wrong,Correct,Guess
2,1,4087,AGPL,1,128,Wrong,Wrong,Semi
2,1,8203,AGPL,1,129,Correct,Correct,Semi
2,1,5499,AGPL,1,29,Correct,Wrong,Guess
2,1,7116,AGPL,1,18,Wrong,Correct,Semi
2,1,2640,AGPL,1,60,Wrong,Correct,Semi
2,1,3296,AGPL,1,5,Wrong,Correct,Semi
2,1,5114,AGPL,1,120,Correct,Wrong,Guess
2,1,7662,AGPL,1,97,Correct,Wrong,Semi
2,1,4777,AGPL,1,154,Wrong,Correct,Semi
2,1,4177,AGPL,1,75,Correct,Correct,Very
2,1,6911,AGPL,1,206,Wrong,Correct,Semi
2,1,4689,AGPL,2,31,Wrong,Wrong,Very
2,1,2286,AGPL,2,11,Wrong,Wrong,Semi
2,1,6127,AGPL,2,13,NMI,Wrong,Semi
2,1,8861,AGPL,2,9,Wrong,Wrong,Semi
2,1,9261,AGPL,2,25,Correct,Correct,Semi
2,1,4087,AGPL,2,65,Wrong,Wrong,Guess
2,1,8203,AGPL,2,36,Correct,Correct,Semi
2,1,5499,AGPL,2,34,Wrong,Wrong,Guess
2,1,7116,AGPL,2,11,Wrong,Wrong,Semi
2,1,2640,AGPL,2,60,Correct,Wrong,Guess
2,1,3296,AGPL,2,30,Correct,Correct,Very
2,1,5114,AGPL,2,14,Correct,Correct,Very
2,1,7662,AGPL,2,80,Correct,Wrong,Semi
2,1,4777,AGPL,2,42,Correct,Correct,Semi
2,1,4177,AGPL,2,43,NMI,Wrong,Very
2,1,6911,AGPL,2,47,Correct,Correct,Very
2,2,1709,AGPL,1,68,Correct,Wrong,Guess
2,2,6850,AGPL,1,36,Correct,Wrong,Guess
2,2,6671,AGPL,1,107,Wrong,Correct,Guess
2,2,6548,AGPL,1,78,Wrong,Correct,Guess
2,2,2178,AGPL,1,53,Wrong,Wrong,Semi
2,2,4830,AGPL,1,204,Wrong,Correct,Semi
2,2,2793,AGPL,1,186,Wrong,Correct,Semi
2,2,6739,AGPL,1,145,Wrong,Wrong,Guess
2,2,8725,AGPL,1,168,Wrong,Wrong,Semi
2,2,5640,AGPL,1,97,Wrong,Wrong,Very
2,2,9960,AGPL,1,205,Wrong,Wrong,Semi
2,2,9485,AGPL,1,75,Correct,Wrong,Guess
2,2,4481,AGPL,1,272,Correct,Wrong,Semi
2,2,3335,AGPL,1,143,Correct,Wrong,Semi
2,2,8141,AGPL,1,149,Correct,Wrong,Very
2,2,5387,AGPL,1,435,Wrong,Correct,Guess
2,2,1709,AGPL,2,67,NMI,Wrong,Guess
2,2,6850,AGPL,2,73,Correct,Correct,Guess
2,2,6671,AGPL,2,96,Correct,Correct,Guess
2,2,6548,AGPL,2,40,Correct,Correct,Guess
2,2,2178,AGPL,2,118,Correct,Correct,Semi
2,2,4830,AGPL,2,15,Correct,Correct,Semi
2,2,2793,AGPL,2,190,Correct,Correct,Semi
2,2,6739,AGPL,2,156,Correct,Correct,Guess
2,2,8725,AGPL,2,137,Correct,Correct,Semi
2,2,5640,AGPL,2,83,Correct,Correct,Very
2,2,9960,AGPL,2,124,NMI,Correct,Semi
2,2,9485,AGPL,2,49,NMI,Correct,Semi
2,2,4481,AGPL,2,11,NMI,Correct,Semi
2,2,3335,AGPL,2,184,NMI,Correct,Guess
2,2,8141,AGPL,2,245,Correct,Wrong,Semi
2,2,5387,AGPL,2,220,Correct,Correct,Guess
2,1,4689,HIPAA,1,13,Correct,Wrong,Very
2,1,9261,HIPAA,1,72,Correct,Wrong,Semi
2,1,8203,HIPAA,1,102,Correct,Wrong,Very
2,1,6127,HIPAA,1,20,Correct,Wrong,Very
2,1,2640,HIPAA,1,70,Correct,Wrong,Very
2,1,8861,HIPAA,1,21,Correct,Wrong,Semi
2,1,7116,HIPAA,1,18,Correct,Wrong,Very
2,1,2286,HIPAA,1,26,Correct,Wrong,Very
2,1,4087,HIPAA,1,81,Correct,Wrong,Semi
2,1,5114,HIPAA,1,91,Correct,Correct,Very
2,1,3296,HIPAA,1,110,Correct,Correct,Very
2,1,5499,HIPAA,1,80,Wrong,Wrong,Semi
2,1,7662,HIPAA,1,149,Correct,Wrong,Very
2,1,4777,HIPAA,1,138,Correct,Correct,Very
2,1,4177,HIPAA,1,12,Correct,Wrong,Very
2,1,6911,HIPAA,1,205,Correct,Wrong,Very
2,1,4689,HIPAA,2,24,Correct,Correct,Semi
2,1,9261,HIPAA,2,61,Correct,Wrong,Very
2,1,8203,HIPAA,2,73,Wrong,Wrong,Very
2,1,6127,HIPAA,2,46,Correct,Wrong,Semi
2,1,2640,HIPAA,2,5,Correct,Correct,Semi
2,1,8861,HIPAA,2,40,Wrong,Wrong,Semi
2,1,7116,HIPAA,2,60,Wrong,Wrong,Very
2,1,2286,HIPAA,2,31,Correct,Wrong,Very
2,1,4087,HIPAA,2,91,Wrong,Wrong,Very
2,1,5114,HIPAA,2,92,Correct,Correct,Semi
2,1,3296,HIPAA,2,50,Correct,Correct,Very
2,1,5499,HIPAA,2,97,Correct,Wrong,Guess
2,1,7662,HIPAA,2,69,Correct,Correct,Semi
2,1,4777,HIPAA,2,119,Wrong,Correct,Semi
2,1,4177,HIPAA,2,43,Wrong,Wrong,Semi
2,1,6911,HIPAA,2,251,Correct,Correct,Very
2,1,4689,HIPAA,3,24,Wrong,Wrong,Very
2,1,9261,HIPAA,3,35,Correct,Wrong,Semi
2,1,8203,HIPAA,3,49,Correct,Wrong,Very
2,1,6127,HIPAA,3,41,NMI,Wrong,Semi
2,1,2640,HIPAA,3,50,NMI,Correct,Very
2,1,8861,HIPAA,3,32,Wrong,Correct,Semi
2,1,7116,HIPAA,3,88,Wrong,Wrong,Semi
2,1,2286,HIPAA,3,23,Correct,Wrong,Very
2,1,4087,HIPAA,3,46,Wrong,Wrong,Semi
2,1,5114,HIPAA,3,34,Correct,Correct,Very
2,1,3296,HIPAA,3,37,Correct,Correct,Very
2,1,5499,HIPAA,3,62,Correct,Wrong,Guess
2,1,7662,HIPAA,3,15,Wrong,Correct,Semi
2,1,4777,HIPAA,3,51,Wrong,Wrong,Semi
2,1,4177,HIPAA,3,128,Wrong,Wrong,Semi
2,1,6911,HIPAA,3,72,Correct,Correct,Very
2,2,6850,HIPAA,1,161,Wrong,Wrong,Guess
2,2,1709,HIPAA,1,86,NMI,Wrong,Guess
2,2,6671,HIPAA,1,241,Correct,Correct,Guess
2,2,2178,HIPAA,1,114,Wrong,Wrong,Semi
2,2,4830,HIPAA,1,245,Correct,Correct,Semi
2,2,6739,HIPAA,1,46,Correct,Correct,Guess
2,2,6548,HIPAA,1,326,Correct,Correct,Guess
2,2,2793,HIPAA,1,39,Correct,Correct,Very
2,2,8725,HIPAA,1,305,Correct,Correct,Semi
2,2,7945,HIPAA,1,301,Correct,Correct,Very
2,2,5640,HIPAA,1,177,Correct,Correct,Very
2,2,3335,HIPAA,1,34,Correct,Correct,Very
2,2,4481,HIPAA,1,2680,Correct,Correct,Semi
2,2,9960,HIPAA,1,495,Correct,Correct,Very
2,2,9485,HIPAA,1,237,Correct,Correct,Very
2,2,8141,HIPAA,1,422,Correct,Correct,Semi
2,2,5387,HIPAA,1,415,Correct,Correct,Very
2,2,6843,HIPAA,1,193,NMI,Correct,Guess
2,2,6850,HIPAA,2,10,NMI,Correct,Guess
2,2,1709,HIPAA,2,79,Correct,Correct,Guess
2,2,6671,HIPAA,2,132,Wrong,Wrong,Guess
2,2,2178,HIPAA,2,107,Wrong,Correct,Semi
2,2,4830,HIPAA,2,258,Correct,Wrong,Semi
2,2,6739,HIPAA,2,231,Correct,Correct,Guess
2,2,6548,HIPAA,2,215,Correct,Correct,Guess
2,2,2793,HIPAA,2,288,Correct,Correct,Semi
2,2,8725,HIPAA,2,250,NMI,Correct,Semi
2,2,7945,HIPAA,2,232,Correct,Correct,Very
2,2,5640,HIPAA,2,351,Correct,Correct,Semi
2,2,3335,HIPAA,2,196,NMI,Correct,Semi
2,2,4481,HIPAA,2,378,Correct,Correct,Semi
2,2,9960,HIPAA,2,268,NMI,Correct,Semi
2,2,9485,HIPAA,2,326,Correct,Correct,Very
2,2,8141,HIPAA,2,484,NMI,Correct,Very
2,2,5387,HIPAA,2,405,Correct,Correct,Very
2,2,6843,HIPAA,2,573,Wrong,Correct,Semi
2,2,6850,HIPAA,3,10,Correct,Wrong,Guess
2,2,1709,HIPAA,3,81,NMI,Wrong,Guess
2,2,6671,HIPAA,3,104,Wrong,Correct,Guess
2,2,2178,HIPAA,3,117,Correct,Wrong,Guess
2,2,4830,HIPAA,3,125,Correct,Wrong,Semi
2,2,6739,HIPAA,3,157,Correct,Correct,Semi
2,2,6548,HIPAA,3,112,Correct,Correct,Guess
2,2,2793,HIPAA,3,143,Correct,Correct,Semi
2,2,8725,HIPAA,3,160,NMI,Correct,Semi
2,2,7945,HIPAA,3,366,Correct,Correct,Semi
2,2,5640,HIPAA,3,341,NMI,Correct,Semi
2,2,3335,HIPAA,3,267,NMI,Correct,Semi
2,2,4481,HIPAA,3,272,NMI,Correct,Semi
2,2,9960,HIPAA,3,142,NMI,Correct,Semi
2,2,9485,HIPAA,3,237,Correct,Correct,Semi
2,2,8141,HIPAA,3,301,NMI,Correct,Very
2,2,5387,HIPAA,3,464,NMI,Correct,Semi
2,2,6843,HIPAA,3,1208,NMI,Wrong,Guess
